species;genus;family;order;class;phylum;kingdom
Astragalus cobresiiphilus;Astragalus;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Astragalus paraglycyphyllos;Astragalus;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Astragalus sieversii;Astragalus;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Ataenius elegans;Ataenius;Aphodiidae;Coleoptera;Insecta;Arthropoda;Animalia
Atelestegastus marginatus;Atelestegastus;Cooperinidae;Productida;Strophomenata;Brachiopoda;Animalia
Athetis albirena;Athetis;Noctuidae;Lepidoptera;Insecta;Arthropoda;Animalia
Atomotricha versuta;Atomotricha;Oecophoridae;Lepidoptera;Insecta;Arthropoda;Animalia
Atrichopogon geminus;Atrichopogon;Ceratopogonidae;Diptera;Insecta;Arthropoda;Animalia
Atriplex pratovii;Atriplex;Amaranthaceae;Caryophyllales;Magnoliopsida;Tracheophyta;Plantae
Attagenus cyphonoides;Attagenus;Dermestidae;Coleoptera;Insecta;Arthropoda;Animalia
Attenuipyga balli;Attenuipyga;Cicadellidae;Hemiptera;Insecta;Arthropoda;Animalia
Auchenomus extractus;Auchenomus;Spongiphoridae;Dermaptera;Insecta;Arthropoda;Animalia
Austrocercella tillyardi;Austrocercella;Notonemouridae;Plecoptera;Insecta;Arthropoda;Animalia
Austrocercoides bullata;Austrocercoides;Notonemouridae;Plecoptera;Insecta;Arthropoda;Animalia
Austrosciapus nellae;Austrosciapus;Dolichopodidae;Diptera;Insecta;Arthropoda;Animalia
Austrosticta soror;Austrosticta;Isostictidae;Odonata;Insecta;Arthropoda;Animalia
Austrotartessus flavobrunneus;Austrotartessus;Cicadellidae;Hemiptera;Insecta;Arthropoda;Animalia
Autoba trilinea;Autoba;Noctuidae;Lepidoptera;Insecta;Arthropoda;Animalia
Axillariella constricta;Axillariella;Sargassaceae;Fucales;Phaeophyceae;Ochrophyta;Chromista
Axinella vaceleti;Axinella;Axinellidae;Axinellida;Demospongiae;Porifera;Animalia
Axonopus debilis;Axonopus;Poaceae;Poales;Liliopsida;Tracheophyta;Plantae
Ayenia magna;Ayenia;Malvaceae;Malvales;Magnoliopsida;Tracheophyta;Plantae
Ayenia microphylla;Ayenia;Malvaceae;Malvales;Magnoliopsida;Tracheophyta;Plantae
Babelomurex macrocephalus;Babelomurex;Muricidae;Neogastropoda;Gastropoda;Mollusca;Animalia
Babiana papyracea;Babiana;Iridaceae;Asparagales;Liliopsida;Tracheophyta;Plantae
Bachia bicolor;Bachia;Gymnophthalmidae;Squamata;Reptilia;Chordata;Animalia
Bacidia carneocinerea;Bacidia;Ramalinaceae;Lecanorales;Lecanoromycetes;Ascomycota;Fungi
Bactrocera expandens;Bactrocera;Tephritidae;Diptera;Insecta;Arthropoda;Animalia
Baetodes inermis;Baetodes;Baetidae;Ephemeroptera;Insecta;Arthropoda;Animalia
Bagous adelaidae;Bagous;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Balanophyllia calyculus;Balanophyllia;Dendrophylliidae;Scleractinia;Anthozoa;Cnidaria;Animalia
Balistes ellioti;Balistes;Balistidae;Tetraodontiformes;Actinopterygii;Chordata;Animalia
Balmes notabilis;Balmes;Psychopsidae;Neuroptera;Insecta;Arthropoda;Animalia
Banisteriopsis goiana;Banisteriopsis;Malpighiaceae;Malpighiales;Magnoliopsida;Tracheophyta;Plantae
Baphia crassifolia;Baphia;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Baris amnicola;Baris;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Barleria gossweileri;Barleria;Acanthaceae;Lamiales;Magnoliopsida;Tracheophyta;Plantae
Barleria holstii;Barleria;Acanthaceae;Lamiales;Magnoliopsida;Tracheophyta;Plantae
Barleria paniculata;Barleria;Acanthaceae;Lamiales;Magnoliopsida;Tracheophyta;Plantae
Barroisiceras onilahyense;Barroisiceras;Collignoniceratidae;Ammonoidea;Cephalopoda;Mollusca;Animalia
Bartalinia laurina;Bartalinia;Bartaliniaceae;Amphisphaeriales;Sordariomycetes;Ascomycota;Fungi
Basilia ferruginea;Basilia;Hippoboscidae;Diptera;Insecta;Arthropoda;Animalia
Basilobelba werneri;Basilobelba;Basilobelbidae;Sarcoptiformes;Arachnida;Arthropoda;Animalia
Basiprionota maerkeli;Basiprionota;Chrysomelidae;Coleoptera;Insecta;Arthropoda;Animalia
